127.0.0.1 - - [09/Jan/2023:10:23:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/ HTTP/1.1" 200 12945
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/main3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/facebook.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/c-2-content.jfif/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/naverblog.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/c-1-content.jfif/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/main2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/instagram.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/twitter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/c-2-content2.jfif/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/youtube.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/foot_logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /msit/resources/data/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
