127.0.0.1 - - [02/Jan/2023:10:01:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:26 +0900] "GET /msit/ HTTP/1.1" 200 9598
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:26 +0900] "GET /msit/resources/data/facebook.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:26 +0900] "GET /msit/resources/data/naverblog.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:26 +0900] "GET /msit/resources/data/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:26 +0900] "GET /msit/resources/data/twitter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:26 +0900] "GET /msit/resources/data/youtube.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:26 +0900] "GET /msit/resources/data/instagram.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:26 +0900] "GET /msit/resources/data/foot_logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:26 +0900] "GET /msit/resources/data/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:37 +0900] "GET /msit/resources/menud/d-3.jsp HTTP/1.1" 200 10148
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:37 +0900] "GET /msit/resources/data/a-1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:01:37 +0900] "GET /msit/resources/data/d-3-content.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:35 +0900] "GET /msit/resources/menud/d-1.jsp HTTP/1.1" 200 9950
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:35 +0900] "GET /msit/resources/data/d-1-content.png/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:38 +0900] "GET /msit/resources/menud/d-2.jsp HTTP/1.1" 200 10704
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:38 +0900] "GET /msit/resources/data/d-2-content1.png/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:38 +0900] "GET /msit/resources/data/d-2-content2.png/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:38 +0900] "GET /msit/resources/data/d-2-content3.png/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:38 +0900] "GET /msit/resources/data/d-2-content4.png/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:38 +0900] "GET /msit/resources/data/d-2-content5.png/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:38 +0900] "GET /msit/resources/data/d-2-content8.png/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:38 +0900] "GET /msit/resources/data/d-2-content9.png/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:38 +0900] "GET /msit/resources/data/d-2-content7.png/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:38 +0900] "GET /msit/resources/data/d-2-content6.png/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:40 +0900] "GET /msit/resources/menud/d-3.jsp HTTP/1.1" 200 10148
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:43 +0900] "GET /msit/resources/menua/a-1.jsp HTTP/1.1" 200 10562
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:43 +0900] "GET /msit/resources/data/a-1-content.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:43 +0900] "GET /msit/resources/data/a-1-content2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:45 +0900] "GET /msit/resources/menub/b-3.jsp HTTP/1.1" 200 10194
0:0:0:0:0:0:0:1 - - [02/Jan/2023:10:04:45 +0900] "GET /msit/resources/data/b-3-content.png HTTP/1.1" 304 -
